,tweet,brand_or_product,emotion,target
70,"Do it. RT @mention Come party w/ Google tonight at #sxsw! {link} - Bands, food, art, ice cream, nifty interactive maps!",Google,positive,0
73,Holla! RT @mention At google party. Best ever! Get your butt over here. #sxsw,Google,positive,0
74,I love my @mention iPhone case from #Sxsw but I can't get my phone out of it #fail,iPhone,positive,0
78,New Post: @mention iPhone app makes it easy to connect on all social networks with people you meet  {link} #sxsw,iPad or iPhone App,positive,0
79,Nice that @mention iPhone app is behaving today. Crashes yesterday were ridiculous. #sxsw,iPad or iPhone App,positive,0
81,"Nice!! RT @mention Hey, Apple fans! Get a peek at the space that's slated to be a pop-up #SXSW Apple Store tomorrow: {link}",Apple,positive,0
82,"one thing @mention is doing so great is get a great, down to earth face to Google as a company - You can only love her #sxsw #sxwsi",Google,positive,0
87,Thanks to @mention for her mention of our new #Speech iPad apps being showcased at the #SXSW Conf. {link} #sxswh #sxsh,iPad or iPhone App,positive,0
90,What !?!? @mention  #SXSW does not provide iPhone chargers?!?  I've changed my mind about going next year!,iPhone,negative,1
93,"XMAS!! RT @mention Shiny new @mention @mention @mention apps, a new @garyvee book, pop-up iPad 2 stores... #SXSW is Christmas for nerds.",iPad,positive,0
94,Yai!!! RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by (cont) {link},iPhone,positive,0
96,"Fast, Fun &amp; Future: @mention of Google presenting at #sxsw on search, local and mobile",Google,positive,0
99,Headline: &quot;#iPad 2 is the Must-Have Gadget at #SXSW&quot; Hmm... I could have seen that one coming! {link} #gadget,iPad,positive,0
101,Know that &quot;dataviz&quot; translates to &quot;satanic&quot; on an iPhone. I'm just sayin'. #sxsw,unknown,negative,1
102,".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. #sxsw #Bizzy",Google,positive,0
104,"ï¿½ï¿½ï¿½@mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, #911tweets panel at #SXSW.ï¿½Û",Google,positive,0
106,"Kawasaki: &quot;Not C.S. Lewis level reasoning, but Apple's continued existence is evidence for the existence of God&quot; #bawling #sxsw",Apple,positive,0
108,Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. #sxsw #jwtatl #enchantment  via @mention,Apple,positive,0
109,Spark for #android is up for a #teamandroid award at #SXSW read about it here: {link},unknown,positive,0
111,"#SXSW and #Apple iPad 2's are great, but thoughts are w/ Japan and APAC regions dealing w/ earthquake &amp; tsunami trauma. #sxswi",iPad,positive,0
113,"At #SXSW, #Apple schools the marketing experts - {link}",Apple,positive,0
115,"Temporary #apple store is def not a tent, it's a powerhouse gym #SXSW  {link}",Apple,positive,0
116,"Temporary #Apple store on 6th and Congress for #sxsw, along with 10,000 very happy hipsters.",Apple,positive,0
117,ï¿½ï¿½ï¿½@mention #Apple wins #SXSW {link} Opening a temporary store in downtown Austin to support #iPad2 launch - That is good.,Apple,positive,0
120,Christian #iPad #iPhone devs I want to talk to u at #sxsw or after -maybe we can wk together on cool app! @mention me,iPad or iPhone App,positive,0
121,The Apple #iPAD2  has taken #SxSW and #Austin by storm.. {link}  @mention excited to a be a part #mobile,iPad,positive,0
122,I can haz #iPad2 ifrom #SxSW Gr8 {link},iPad,positive,0
123,"Stacks of #ipad2's waiting to be bought at #sxsw. I got mine, no hassle at all. Apple handled this perfectly {link}",iPad,positive,0
126,Does your #SmallBiz need reviews to play on Google Places...We got an App for that..{link}  #seo #sxsw,unknown,positive,0
130,"Take that #SXSW ! RT @mention Major South Korean director gets $130,000 to make a movie entirely with his iPhone. {link}",iPhone,positive,0
131,"Beautiful #sxsw (@mention Apple Store, SXSW) [pic]: {link}",Apple,positive,0
137,Must have #SXSW app! RT @mention Lovely review from Forbes for our SXSW iPad app Holler Gram - {link},iPad or iPhone App,positive,0
138,Temporary #sxsw apple store. Apple being sneaky as usual  {link},Apple,positive,0
140,ï¿½ï¿½ï¿½@mention #sxsw beta testing interactive book for iPad app by Moonbot studios out of Louisiana.  Cool app.ï¿½Û,iPad or iPhone App,positive,0
141,Apple won #SxSW from day one. Seeing a TON of #iPad2,iPad,positive,0
143,ï¿½ï¿½ï¿½@mention #sxsw ipad store sold out of everything except 64gig wifi only whiteï¿½Û @mention Did you manage to get yours?,iPad,positive,0
144,ï¿½ï¿½ï¿½@mention #sxsw ipad store sold out of everything except 64gig wifi only whiteï¿½Û also known as the white jeans configuration.,iPad,positive,0
145,Offered a #sxsw ipad promo to ninjafinder users and fans who are not here at #sxsw. Sucks to not be here. #sxsw,iPad,positive,0
150,@mention  #SXSW LonelyPlanet Austin guide for #iPhone is free for a limited time {link} #lp #travel,unknown,positive,0
154,The Apple #SXSW store still has iPad 2's and short lines.,iPad,positive,0
156,"Just left #sxsw tradeshow demo of @mention at the Google Theatre. Ok, I get it. I see why all the presenters here are using it.",Other Google product or service,positive,0
159,Anyone at #sxsw want to make a quick hundred dollars? New #ipad2 from ad hoc apple store here gets hundred plus cost!,iPad,positive,0
161,"Monday at #sxsw: barry diller, new york times, congress lunch, W Hotel party, Google party, six dirty martinis. How mondays should be.",Google,positive,0
163,"Seriously #sxsw? Did you do any testing on the mobile apps? Constant iPad crashes causing lost schedules, and no sync for WP7.",iPad or iPhone App,negative,1
164,Ready for #SXSW?! Here are some iPhone apps 2 make ur blogging easier | {link} #SXSW #SXSWi,iPad or iPhone App,positive,0
165,ipad2 and #sxsw...a conflagration of doofusness.  {link},iPad,negative,1
166,attention #sxsw'ers - {link} - rumored pop-up temporary Apple store for all your #sxsw iPad 2 launch needs.,Apple,positive,0
167,I went to #sxswi and all I won was this lousy #iPad #sxsw :-) :-) {link},iPad,positive,0
170,This is a #WINNING picture #android #google #sxsw {link},Android,positive,0
173,"You spent $1,000+ to come to SXSW. 

You've already used iPad 1. 

The wait is a couple city blocks. 

Why? #ipad2 #SXSW {link}",iPad,negative,1
174,Behind on 100s of emails? Give them all 1 line iPhone composed replies. #SXSW #protip,iPhone,positive,0
175,It's like 10pm at night and there is a line around the block at the popup apple stores selling iPad2s. #sxsw,iPad,positive,0
182,"I'm up to 2 iPad 2s seen in the wild. Both people say it is fast, but the still pics are terrible. #sxsw",iPad,negative,1
184,The #iPad 2 Takes Over #SXSW [VIDEO] /by @mention {link},iPad,positive,0
185,many iPad 2's snapping away at the keynote slides! #sxsw,iPad,positive,0
188,New Post: 3 iPhone Apps We'll Be Using at South By Southwest Interactive {link} #SXSW #SXSWi,iPad or iPhone App,positive,0
190,sweet new 3-d google maps demo going on in ballroom D #SXSW,Other Google product or service,positive,0
191,More than 35 million miles per day are driving with Google Maps Navigation! #SXSW,Other Google product or service,positive,0
197,"If you're a band at #SXSW and want to share a track with your Audience from stage, use FrostWire for Android if there's Wi-Fi available",Android App,positive,0
202,if u have a iPhone you don't need a car'-use zimride etc to share rides #sxsw #shareable,iPad or iPhone App,positive,0
205,Picked up a Mophie battery case 4 my iPhone in prep for #SXSW. Not lugging around a laptop &amp; only using my phone was a huge win last year.,iPhone,positive,0
208,"Not to be a rumor monger, but this was a good read ï¿½_ #Google #Circles preview @mention #sxsw {link} by @mention via @mention #socbiz #fb",Other Google product or service,positive,0
210,Hobo with A Shotgun video game coming to iPad/iPhone users?! Yes please! {link} #SXSW,iPad or iPhone App,positive,0
211,build out a store in less than 24 hours and have one of the biggest launches in this company's history?  we got this.  #apple #sxsw #ipad2,Apple,positive,0
214,Just read about #GroupMe at #SXSW...sounds like an incredible app. Is it available for Android phones yet?,iPad or iPhone App,positive,0
224,"If iPhone alarms botch the timechange, how many #SXSW'ers freak? Late to flights, missed panels, behind on bloody marys...",iPhone,negative,1
225,Shouts to all the ladies holding up their iPad 2's at free #sxsw shows to take photos while sipping free beer. /cc: @mention,iPad,positive,0
227,I meant I also wish I  at #SXSW #dyac stupid iPhone!,iPhone,negative,1
231,Rumors of an Apple store opening for #SXSW at 6th &amp; Congress. All signs point to yes! {link},Apple,positive,0
235,picked up an ipad 2 at the #sxsw pop up  apple store! only 15 minute wait!,iPad,positive,0
236,Brilliant and enlightening game mechanics presentation by @mention from Google #SXSW,Google,positive,0
242,marketing and sales GENIUS: {link} #Apple #SXSW,Apple,positive,0
248,"Do I need any more for #sxsw! ipad, iphone, laptop, dictaphone, vid.camera.... Wow! Love to  meet the REAL 'cerebellum' charged people:)",iPhone,positive,0
250,The #SXSW app for my iPhone is ridiculous. It's my personal planner for the next 5 days.,iPad or iPhone App,positive,0
252,"Found the app kyping my iPhone's geolocation &amp; not releasing when in background. Need a patch, @mention #batterykiller #SXSW",iPad or iPhone App,negative,1
253,the #SXSW app on the iPhone is live. RSVP for events from your phone &amp; check out sundayswagger.eventbrite.com 3/20 #scoremore,iPad or iPhone App,positive,0
255,Love this app! So awesome. RT @mention Must see #android app at #sxsw &quot;Bizzy&quot; {link},Android App,positive,0
259,Of course Apple built a temp store in Austin. It's Texas. They understand the concept of corralling cattle #SXSW #PickMeUpAniPad2,Apple,negative,1
260,Love that Apple didn't let something like not having a retail store near #SXSW keep them away by opening a pop-up store {link},Apple,positive,0
261,Surprise! Apple has opened a pop-up store in Austin so that the nerds in town for #SXSW can get their new ... {link} #Cnet,Apple,positive,0
262,Surprise! Apple has opened a pop-up store in Austin so that the nerds in town for #SXSW can get their new iPads. {link} #cnet,iPad,positive,0
264,Surprise! Apple has opened a pop-up store in Austin so that the nerds in town for #SXSW can get their new iPads.... {link},Apple,positive,0
266,ï¿½ï¿½ï¿½@mention Apple is a great example of a retail store layed out for the future - no 'registers' no 'checkout line'  #sxsw,Apple,positive,0
267,ï¿½ï¿½ï¿½@mention Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch {link} #gswsxsw,Apple,positive,0
268,ï¿½ï¿½ï¿½@mention Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch&quot; oh YAY more traffic.,Apple,negative,1
269,"The #sxsw Apple Popup Store is open at noon, has a fresh shipment of iPad 2's, and I'm pretty sure I'm going to get one. [fingers crossed]",iPad,positive,0
270,"#technews Apple saves SXSW, set to open pop-up store {link} #Tech_News #Apple #SXSW #tech",Apple,positive,0
272,"At #SXSW, Apple schools the marketing experts {link}",Apple,positive,0
273,"At #SXSW, Apple schools the marketing experts {link} via @mention",Apple,positive,0
274,"At #SXSW, Apple schools the marketing experts {link} via @mention &lt;&lt; True. Love or loathe them, no one does marketing like them.",Apple,positive,0
275,"At #SXSW, Apple schools the marketing experts | CNET - {link}",Apple,positive,0
276,"At #SXSW, Apple schools the marketing experts | CNET Blogs {link} #Austin #ATX #retail",Apple,positive,0
277,ï¿½ï¿½ï¿½@mention Apple store downtown Austin open til Midnight. #sxswï¿½Û @mention there's still time :),Apple,positive,0
280,&quot;The Apple store at the mall on Sunday is 10x as crowded as this. This line is fake. I just need a fucking dongle.&quot; Genius let me in. #sxsw,Apple,negative,1
283,Makeshift apple store at 6th and congress. You're kidding me. Amazing #sxsw #apple,Apple,positive,0
285,Temporary Apple store at SXSW is really cool...as is the iPad 2 :) #apple #SXSW #fanboy,iPad,positive,0
286,Temporary Apple Store being set up for #SXSW... shit now the temptation is going to be out of control.,Apple,positive,0
289,Temporary apple store opens at 5pm at 6th and congress. Line already growing. #iPad - view.io {link} via @mention #sxsw,Apple,positive,0
290,Temporary Apple Store will be a block from my office! Can't wait to see the line tomorrow. Photos to come... #sxsw #iPad2,Apple,positive,0
293,iPad news apps 'so last year' at #SXSW {link},iPad or iPhone App,negative,1
294,10 iPhone Apps youï¿½Ûªll Probably Need and Use During #SXSW {link},iPad or iPhone App,positive,0
295,Now there are 150 million mobile google maps users @mention #sxsw,Other Google product or service,positive,0
297,And a few are Android too RT @mention 10 New Mobile Apps Iï¿½Ûªll Be Using atï¿½ï¿½#SXSW  {link},Android App,positive,0
299,"iPad apps are just like software development in that once you release it, you have to start working on the update. #sxsw",iPad or iPhone App,positive,0
312,Overheard at #sxsw &quot;the iPad is a relaxing computer&quot;: agreed. #iPad #apple,iPad,positive,0
313,Overheard at #sxsw interactive: &quot;Arg! I hate the iphone! I want my blackberry back&quot; #shocked,iPhone,negative,1
315,ï¿½ï¿½ï¿½@mention at #sxsw: &quot;apple comes up with cool technology no one's ever heard of because they don't go to conferences&quot;ï¿½Û,Apple,negative,1
320,"Last year at #SXSWi everbody was talking about the iPad, this year it's social media driven revolutions. This year is better. #sxsw",iPad,positive,0
321,"Long line at Apple Pop up store for iPad 2. Great marketing, Apple. #SXSW",Apple,positive,0
322,"ï¿½ï¿½ï¿½@mention At Google, 4 people do the work of 7 people rather than 7 people doing the work of 4. #agileagency #SXSWï¿½Û",Google,positive,0
323,knackered at home playing with ipad and updating iphone. but timeline smashed with partytweets can't make me go to bed.. #sxsw,iPad,positive,0
324,overheard at MDW (and I'll second it) &quot;halfway through my iPhone battery already and I haven't even boarded the plane to #sxsw&quot; #amateurhour,iPhone,negative,1
325,"#technews At SXSW, Apple schools the marketing experts {link} #Tech_News #Apple #Jobs_Co #SXSW #tech",Apple,positive,0
326,First day at sxsw.  Fun final presentation on Google Doodles.  #GoogleDoodle #sxsw,unknown,positive,0
327,Huge line at the #apple store in #austin - #sxsw crowd tripping over each other to get the new ipad,iPad,positive,0
328,If ur not at the #google #aclu 80's party....u should be! #sxsw,Google,positive,0
333,I laughed at the iPad until I spent this week hauling my macbook everywhere. Now I really want an iPad and a shoulder rub. #sxsw,iPad,positive,0
334,Any #SXSW attendees need a QR code reader for their iPhone? Tweet us an image of you with your badge and the first 5 get Optiscan free!,iPad or iPhone App,positive,0
335,Hey #SXSW attendees...you should hop in line at the #Apple store now. Only four days til your new iPad2 comes in...,iPad,positive,0
339,they took away the lego pit but replaced it with a recharging station ;) #sxsw and i might check prices for an iphone - crap samsung android,Android,negative,1
341,".@mention Bad Apple: shows up late, Qs the process, poo-poos ideas, leaves early. Can even be &quot;I'm too creative&quot; or busy #gamestorming #sxsw",Apple,negative,1
343,Trying to balance the power of power needs on iPhone vs iPad at #sxsw. This 3G iPad sucks it out quick. Might have go airplane mode.,iPad,negative,1
345,My iPhone battery at 100%. #winning at #SXSW,iPhone,positive,0
346,My iPhone battery can't keep up with my tweets! Thanks Apple.  #SXSW  #precommerce,iPhone,negative,1
348,this will be fun to watch. #ipadmadness RT @mention Apple Opening Pop-Up Store In Austin For SXSW {link} #sxsw,Apple,positive,0
349,This will be out of control: #Apple set to open popup shop in core of #SXSW action {link} via @mention  cc @mention,Apple,positive,0
351,Celebrate Beauty of the Web @mention the MSFT #IE9 launch &amp; play our new #html5 game to win an iPad2 {link} #sxsw,iPad,positive,0
356,ï¿½ï¿½ï¿½@mention Best thing I've heard this weekend at #SXSW &quot;I gave my iPad 2 money to #Japan relief. I don't need an iPad 2.&quot;  @mention,iPad,negative,1
358,IPad 2 is better..they have had time to improve #sxsw,iPad,positive,0
360,{link} Go beyond Earth Hour this year by sharing positive actions with the world. Download the #EarthHour 60+ iPhone app. #SXSW,iPad or iPhone App,positive,0
362,Google vs Bing on #bettersearch. Bing has a shot at success w/ structured search.  Potentially higher margin CPA model vs #Google. #SXSW,Google,negative,1
363,Of course Bing results are good they are Google's:) #SEO #SXSW #qagb,Google,positive,0
369,impulsive buy = all your friends at #SXSW -&gt; I now have one too. Selling my 1st gen 32gb 3g iPad now,iPad,positive,0
370,ï¿½ï¿½ï¿½@mention Buying 2 new iPad's with @mention #geekdate #apple #sxsw #ipad2ï¿½Û :),iPad,positive,0
371,Someone's buying herself a present ;-) RT @mention Apple Is Opening A Pop-Up Store In Austin For #SXSW {link},Apple,positive,0
372,Nice find by RSQ's @mention {link} #sxsw #iPad #app,iPad or iPhone App,positive,0
375,&quot;You can Google Canadian Tuxedo and lose yourself for hours&quot; #sxsw,unknown,positive,0
377,"Exciting, canï¿½Ûªt wait! RT @mention Apple is opening up a temporary store in downtown Austin for #SXSW &amp; the iPad 2 launch {link}",Apple,positive,0
378,"Great for certain meetings. RT @mention Hello, Holler Gram, our new iPad app {link} #hollergram #sxsw",iPad or iPhone App,positive,0
379,Dont miss Charles Chen for Android/ChromeOS  Access at SXSW: @mention the Google booth in Exhibit Hall 3 @mention 1PM #sxsw,Google,positive,0
394,"iPad 2 is coming out at #SXSW, guess Apple's pretty desperate to give it attention.",Apple,negative,1
395,"If you're coming to #SXSW be sure to download the SXSW Go app, it has all the schedules and locations of the events. {link}",iPad or iPhone App,positive,0
396,Seriously considering leaving my MacBook Pro at home and flying solo with the iPad for a week. Think I can make it work? #sxsw,iPad,positive,0
406,Shipments daily - follow @mention #AppleATXdt 4 updates RT @mention Pop-up Apple Store seems to be out of pop-up iPad2s. #SXSW,unknown,negative,1
409,Four more days! #ipad #sxsw #weekend #battlela,iPad,positive,0
410,IPhone is dead. Find me on the secret batphone #sxsw.,iPhone,negative,1
417,Google TV demo at the league for extraordinary hackers. Cool stuff! I like Web apps on TV. #google #sxsw #lxh,Other Google product or service,positive,0
418,Best iPad design: Big chunky elements. Generous space. Clarity trumps density. Tap quality trumps tap quantity. #tapworthy #sxsw,iPad,positive,0
419,Attending Designing iPad Interfaces - New Navigation Schemas w/ @mention Great stuff so far.  #sxsw,iPad,positive,0
429,Lovin the digital! @mention band sings into iPhone &amp; plays guitar app as fans record vids on iPad2s #CNN Digital #cnngrill #sxsw #sxswi,unknown,positive,0
431,Why Barry Diller thinks iPad only content is nuts @mention #SXSW @mention {link} @mention,iPad,negative,1
432,We really DO need another big social network right now - thanks! #SXSW #Google {link},Other Google product or service,positive,0
434,In Japan: Docomo introduced mobile apps six years before Apple came out with app store. #jpmobilesummit #sxsw,Apple,negative,1
445,Jeez guys dunno about an Apple pop-up over a Gold's Gym. Do u realize how un-Jobs-aesthetic that is? #SXSW #Apple,Apple,negative,1
450,"Before It Even Begins, #Apple Wins #SXSW {link} #tc #apple",Apple,positive,0
451,"Before It Even Begins, #Apple Wins #SXSW {link} by @mention",Apple,positive,0
452,"Before it even begins, #Apple wins #SXSW {link} Opening a temporary store in downtown Austin to support #iPad2 launch #genius",Apple,positive,0
454,"Before It Even Begins, Apple Wins #SXSW - TechCrunch - {link} #ipad",Apple,positive,0
455,"Before It Even Begins, Apple Wins #SXSW {link}",Apple,positive,0
456,"Before it even begins, Apple wins #SXSW {link}",Apple,positive,0
457,"Before It Even Begins, Apple Wins #SXSW {link}",Apple,positive,0
458,"Before It Even Begins, Apple Wins #SXSW {link} /by @mention for @mention",Apple,positive,0
459,"Before It Even Begins, Apple Wins #SXSW {link} /via @mention by @mention for @mention",Apple,positive,0
460,"Before It Even Begins, Apple Wins #SXSW {link} on @mention",Apple,positive,0
461,"Before It Even Begins, Apple Wins #SXSW {link} via @mention",Apple,positive,0
462,"Before It Even Begins, Apple Winsï¿½ï¿½#SxSW, {link} -&gt; gonna get sum! via @mention",Apple,positive,0
463,"Before It Even Begins, Apple Wins SXSW - TechCrunch {link} #sxsw",Apple,positive,0
464,"Before It Even Begins, Apple Wins SXSW {link} &lt;&lt; who will win big at #SXSW ?",Apple,positive,0
465,"Before It Even Begins, Apple Wins SXSW {link} #Apple #iPad2 #PM #SXSW",Apple,positive,0
466,"Before It Even Begins, Apple Wins SXSW {link} #apple #ipad2 #SXSW #TC",Apple,positive,0
467,"Before It Even Begins, Apple Winsï¿½ï¿½SXSW {link} #apple #sxsw",Apple,positive,0
468,"Before It Even Begins, Apple Wins SXSW {link} #tc #apple #ipad2 #sxsw",Apple,positive,0
469,"Before It Even Begins, Apple Winsï¿½ï¿½SXSW {link} via @mention #apple #sxsw",Apple,positive,0
470,"Before It Even Begins, Apple Wins SXSW: {link} Via @mention @mention #Apple #SXSW",Apple,positive,0
471,Badgeless event! Free Drinks! ï¿½ï¿½ï¿½@mention Heading to free Google-sponsored happy hour for Semantic Web Austin @mention Fogo de Chï¿½ï¿½o #sxswï¿½Û,Google,positive,0
472,"BEST SWAG EVER. Thanks @mention My charging iPhone thanks you, too. #SXSW {link}",iPhone,positive,0
475,Timing is everything! iPad 2: Brand Winner at SXSW by @mention {link} #pnid #sxsw,iPad,positive,0
476,"Hey #sxsw exhibitors, why not capture your booth experience with a Retrollect disc? Most popular disc wins iPad 2! {link}",iPad,positive,0
478,"Photo: By far, the best #sxsw accessory is an ipad. Followed closely by a margarita. ;-) {link}",iPad,positive,0
479,One of my fav photos of #SXSW so far @mention &amp;  @mention #google #SXSW {link},Google,positive,0
481,I think I fell a bit more in love with #google today. Thanks for throwing the nerd party at the speakeasy during #SxSW,Google,positive,0
482,"The way I figure, an iPad 2 is a good replacement for not making it to #SXSW this year.",iPad,positive,0
485,I need to find a better #SXSW stream to follow. The inane iPad 2 tweets are surely not what SouthBy is about,iPad,negative,1
487,Do it! RT Find the hottest spots @mention w/ @mention Hot Spots #SXSW app on #WP7 {link} or iPhone {link},unknown,positive,0
491,"Google is focusing on bridging the digital/physical divide. Eg. maps, streetview, hotpot &amp; autonomous driving. #sxsw @mention",Google,positive,0
492,Hey #SXSW folks please keep us posted on Google #Circles. Hope you're all having a blast! {link},Other Google product or service,positive,0
497,Good news for Austin-bound Apple fanboys: {link} #sxsw #ipad2,Apple,positive,0
499,Wish list for tech?  #NTN #SXSW Google Apps helps level the playing field for kids who may not have software at home,Android App,positive,0
501,Hitlantis for the iPad. Cool song explorer app. Hitlantis.com. #sxsw #musicviz,iPad or iPhone App,positive,0
511,Any of my friends at SxSW willing to pick me up an iPad - will pay a premium. DM me #sxsw #atl {link},iPad,positive,0
512,Good talk from AKQAs @mention on iPad interface w/ callback to design principles. My wish: go beyond media/marketing examples. #fb #SxSW,iPad,positive,0
513,Person in front of me just took a picture with his new iPad #sxsw,iPad,positive,0
520,Marketing Genius: Apple opens pop up store outside of #SXSW {link},Apple,positive,0
523,ï¿½ï¿½ï¿½@mention Get ready for the word &quot;Circles&quot; to be trending #SXSWi #SXSW :)ï¿½Û #Google #Circles #social,Other Google product or service,positive,0
525,"After you get your food, don't forget to snap a photo to win a MacBook air, iPad 2, or Apple TV! #sxsw",iPad,positive,0
526,"Austin is getting full, and #SXSW is underway.  I can tell because my iPhone is an intermittent brick. #crowded",iPhone,negative,1
530,Google is giving free Google Labs laptops to open source coders who r attending this meet-up. #sxsw I got a cupcake:-),Google,positive,0
531,"The #SXSW GO app no available for Blackberry and Windows 7 in addition to iPhone, iPad, and Android: {link}",iPad or iPhone App,positive,0
